layer,geoid,topic,stratification,period,value
County,55087,FVDEWVAR,W,2018-2019,862
County,55015,FVDEWVAR,W,2018-2019,29
County,55139,FVDEWVAR,W,2018-2019,1612
County,55087,FVDEWVAR,X1012,2018-2019,171
County,55015,FVDEWVAR,X1012,2018-2019,9
County,55139,FVDEWVAR,X1012,2018-2019,294
County,55087,FVDEWVAR,X113,2018-2019,117
County,55015,FVDEWVAR,X113,2018-2019,6
County,55139,FVDEWVAR,X113,2018-2019,183
County,55087,FVDEWVAR,X1210,2018-2019,76
County,55015,FVDEWVAR,X1210,2018-2019,3
County,55139,FVDEWVAR,X1210,2018-2019,92
County,55087,FVDEWVAR,X1S2,2018-2019,76
County,55139,FVDEWVAR,X1S2,2018-2019,107
County,55015,FVDEWVAR,X1S2,2018-2019,1
County,55087,FVDEWVAR,X2N2,2018-2019,61
County,55139,FVDEWVAR,X2N2,2018-2019,139
County,55087,FVDEWVAR,X3R2,2018-2019,76
County,55139,FVDEWVAR,X3R2,2018-2019,128
County,55087,FVDEWVAR,X4T2,2018-2019,91
County,55015,FVDEWVAR,X4T2,2018-2019,1
County,55139,FVDEWVAR,X4T2,2018-2019,126
County,55087,FVDEWVAR,X5T3,2018-2019,82
County,55015,FVDEWVAR,X5T3,2018-2019,3
County,55139,FVDEWVAR,X5T3,2018-2019,144
County,55087,FVDEWVAR,X6T3,2018-2019,104
County,55015,FVDEWVAR,X6T3,2018-2019,5
County,55139,FVDEWVAR,X6T3,2018-2019,228
County,55087,FVDEWVAR,X7T2,2018-2019,104
County,55015,FVDEWVAR,X7T2,2018-2019,14
County,55139,FVDEWVAR,X7T2,2018-2019,400
County,55087,FVDEWVAR,X8T2,2018-2019,162
County,55015,FVDEWVAR,X8T2,2018-2019,7
County,55139,FVDEWVAR,X8T2,2018-2019,361
County,55087,FVDEWVAR,X9T3,2018-2019,199
County,55139,FVDEWVAR,X9T3,2018-2019,370
County,55015,FVDEWVAR,X9T3,2018-2019,1
Zip code,53014,FVDEWVAR,,2018-2019,26
Zip code,53014,FVDEWVAR,ECO1,2018-2019,22
Zip code,53014,FVDEWVAR,EL1,2018-2019,12
Zip code,53014,FVDEWVAR,ENG3,2018-2019,14
Zip code,53014,FVDEWVAR,H,2018-2019,11
Zip code,53014,FVDEWVAR,MAL15,2018-2019,26
Zip code,53014,FVDEWVAR,NOT3,2018-2019,4
Zip code,53014,FVDEWVAR,Q,2018-2019,4
Zip code,53014,FVDEWVAR,SWD1,2018-2019,8
Zip code,53014,FVDEWVAR,SWO1,2018-2019,18
Zip code,53014,FVDEWVAR,UNK5,2018-2019,1
Zip code,53014,FVDEWVAR,W,2018-2019,10
Zip code,53014,FVDEWVAR,X1012,2018-2019,3
Zip code,53014,FVDEWVAR,X113,2018-2019,2
Zip code,53014,FVDEWVAR,X4T2,2018-2019,1
Zip code,53014,FVDEWVAR,X5T3,2018-2019,3
Zip code,53014,FVDEWVAR,X6T3,2018-2019,4
Zip code,53014,FVDEWVAR,X7T2,2018-2019,13
Zip code,53061,FVDEWVAR,,2018-2019,8
Zip code,53061,FVDEWVAR,ECO1,2018-2019,4
Zip code,53061,FVDEWVAR,EL1,2018-2019,1
Zip code,53061,FVDEWVAR,H,2018-2019,1
Zip code,53061,FVDEWVAR,MAL15,2018-2019,8
Zip code,53061,FVDEWVAR,NOT3,2018-2019,4
Zip code,53061,FVDEWVAR,Q,2018-2019,1
Zip code,53061,FVDEWVAR,SWD1,2018-2019,4
Zip code,53061,FVDEWVAR,SWO1,2018-2019,4
Zip code,53061,FVDEWVAR,UNK4,2018-2019,7
Zip code,53061,FVDEWVAR,UNK5,2018-2019,1
Zip code,53061,FVDEWVAR,W,2018-2019,5
Zip code,53061,FVDEWVAR,X1012,2018-2019,4
Zip code,53061,FVDEWVAR,X113,2018-2019,1
Zip code,53061,FVDEWVAR,X1S2,2018-2019,1
Zip code,53061,FVDEWVAR,X8T2,2018-2019,1
Zip code,53061,FVDEWVAR,X9T3,2018-2019,1
Zip code,53088,FVDEWVAR,,2018-2019,1
Zip code,53088,FVDEWVAR,ECO1,2018-2019,1
Zip code,53088,FVDEWVAR,ENG3,2018-2019,1
Zip code,53088,FVDEWVAR,MAL15,2018-2019,1
Zip code,53088,FVDEWVAR,UNK5,2018-2019,1
Zip code,53088,FVDEWVAR,UNK6,2018-2019,1
Zip code,53088,FVDEWVAR,X1210,2018-2019,1
Zip code,54106,FVDEWVAR,,2018-2019,5
Zip code,54106,FVDEWVAR,ENG3,2018-2019,5
Zip code,54106,FVDEWVAR,FEM3,2018-2019,3
Zip code,54106,FVDEWVAR,MAL15,2018-2019,2
Zip code,54106,FVDEWVAR,NOT3,2018-2019,5
Zip code,54106,FVDEWVAR,SWD1,2018-2019,5
Zip code,54106,FVDEWVAR,W,2018-2019,5
Zip code,54106,FVDEWVAR,X5T3,2018-2019,5
Zip code,54110,FVDEWVAR,,2018-2019,5
Zip code,54110,FVDEWVAR,ECO1,2018-2019,3
Zip code,54110,FVDEWVAR,ENG3,2018-2019,5
Zip code,54110,FVDEWVAR,FEM3,2018-2019,1
Zip code,54110,FVDEWVAR,MAL15,2018-2019,4
Zip code,54110,FVDEWVAR,NOT3,2018-2019,2
Zip code,54110,FVDEWVAR,SWD1,2018-2019,1
Zip code,54110,FVDEWVAR,SWO1,2018-2019,4
Zip code,54110,FVDEWVAR,UNK5,2018-2019,1
Zip code,54110,FVDEWVAR,W,2018-2019,4
Zip code,54110,FVDEWVAR,X1012,2018-2019,1
Zip code,54110,FVDEWVAR,X113,2018-2019,1
Zip code,54110,FVDEWVAR,X1210,2018-2019,2
Zip code,54110,FVDEWVAR,X7T2,2018-2019,1
Zip code,54113,FVDEWVAR,,2018-2019,5
Zip code,54113,FVDEWVAR,ECO1,2018-2019,5
Zip code,54113,FVDEWVAR,FEM3,2018-2019,2
Zip code,54113,FVDEWVAR,MAL15,2018-2019,3
Zip code,54113,FVDEWVAR,Q,2018-2019,3
Zip code,54113,FVDEWVAR,SWD1,2018-2019,1
Zip code,54113,FVDEWVAR,SWO1,2018-2019,4
Zip code,54113,FVDEWVAR,UNK4,2018-2019,5
Zip code,54113,FVDEWVAR,W,2018-2019,2
Zip code,54113,FVDEWVAR,X2N2,2018-2019,2
Zip code,54113,FVDEWVAR,X4T2,2018-2019,3
Zip code,54129,FVDEWVAR,,2018-2019,10
Zip code,54129,FVDEWVAR,ECO1,2018-2019,3
Zip code,54129,FVDEWVAR,ENG3,2018-2019,10
Zip code,54129,FVDEWVAR,FEM3,2018-2019,1
Zip code,54129,FVDEWVAR,MAL15,2018-2019,9
Zip code,54129,FVDEWVAR,NOT3,2018-2019,7
Zip code,54129,FVDEWVAR,SWO1,2018-2019,3
Zip code,54129,FVDEWVAR,UNK6,2018-2019,7
Zip code,54129,FVDEWVAR,W,2018-2019,10
Zip code,54129,FVDEWVAR,X1012,2018-2019,1
Zip code,54129,FVDEWVAR,X113,2018-2019,2
Zip code,54129,FVDEWVAR,X6T3,2018-2019,1
Zip code,54129,FVDEWVAR,X8T2,2018-2019,6
Zip code,54130,FVDEWVAR,,2018-2019,248
Zip code,54130,FVDEWVAR,B,2018-2019,2
Zip code,54130,FVDEWVAR,ECO1,2018-2019,140
Zip code,54130,FVDEWVAR,EL1,2018-2019,6
Zip code,54130,FVDEWVAR,ENG3,2018-2019,228
Zip code,54130,FVDEWVAR,FEM3,2018-2019,54
Zip code,54130,FVDEWVAR,H,2018-2019,17
Zip code,54130,FVDEWVAR,KIN2,2018-2019,3
Zip code,54130,FVDEWVAR,MAL15,2018-2019,194
Zip code,54130,FVDEWVAR,NOT3,2018-2019,108
Zip code,54130,FVDEWVAR,Q,2018-2019,23
Zip code,54130,FVDEWVAR,SWD1,2018-2019,89
