layer,geoid,topic,stratification,period,value
Zip code,53088,FVDEYLCV,UNK2,2024-2025,161
Zip code,53088,FVDEYLCV,UNK6,2024-2025,152
Zip code,53088,FVDEYLCV,W,2024-2025,188
Zip code,53088,FVDEYLCV,X1012,2024-2025,13
Zip code,53088,FVDEYLCV,X113,2024-2025,5
Zip code,53088,FVDEYLCV,X1210,2024-2025,19
Zip code,53088,FVDEYLCV,X1S2,2024-2025,18
Zip code,53088,FVDEYLCV,X2N2,2024-2025,16
Zip code,53088,FVDEYLCV,X3R2,2024-2025,15
Zip code,53088,FVDEYLCV,X4T2,2024-2025,11
Zip code,53088,FVDEYLCV,X5T3,2024-2025,11
Zip code,53088,FVDEYLCV,X6T3,2024-2025,14
Zip code,53088,FVDEYLCV,X7T2,2024-2025,19
Zip code,53088,FVDEYLCV,X8T2,2024-2025,7
Zip code,53088,FVDEYLCV,X9T3,2024-2025,16
Zip code,54106,FVDEYLCV,,2024-2025,345
Zip code,54106,FVDEYLCV,A,2024-2025,7
Zip code,54106,FVDEYLCV,AUT2,2024-2025,8
Zip code,54106,FVDEYLCV,B,2024-2025,2
Zip code,54106,FVDEYLCV,ECO1,2024-2025,121
Zip code,54106,FVDEYLCV,EL1,2024-2025,4
Zip code,54106,FVDEYLCV,ENG3,2024-2025,341
Zip code,54106,FVDEYLCV,FEM3,2024-2025,169
Zip code,54106,FVDEYLCV,H,2024-2025,12
Zip code,54106,FVDEYLCV,K41,2024-2025,25
Zip code,54106,FVDEYLCV,KIN2,2024-2025,29
Zip code,54106,FVDEYLCV,MAL15,2024-2025,176
Zip code,54106,FVDEYLCV,NOT2,2024-2025,298
Zip code,54106,FVDEYLCV,NOT3,2024-2025,224
Zip code,54106,FVDEYLCV,NOT4,2024-2025,345
Zip code,54106,FVDEYLCV,P,2024-2025,4
Zip code,54106,FVDEYLCV,PK1,2024-2025,1
Zip code,54106,FVDEYLCV,Q,2024-2025,8
Zip code,54106,FVDEYLCV,SPE2,2024-2025,8
Zip code,54106,FVDEYLCV,SPE3,2024-2025,21
Zip code,54106,FVDEYLCV,SWD1,2024-2025,47
Zip code,54106,FVDEYLCV,SWO1,2024-2025,298
Zip code,54106,FVDEYLCV,UNK2,2024-2025,10
Zip code,54106,FVDEYLCV,W,2024-2025,312
Zip code,54106,FVDEYLCV,X1S2,2024-2025,34
Zip code,54106,FVDEYLCV,X2N2,2024-2025,33
Zip code,54106,FVDEYLCV,X3R2,2024-2025,35
Zip code,54106,FVDEYLCV,X4T2,2024-2025,36
Zip code,54106,FVDEYLCV,X5T3,2024-2025,40
Zip code,54106,FVDEYLCV,X6T3,2024-2025,34
Zip code,54106,FVDEYLCV,X7T2,2024-2025,41
Zip code,54106,FVDEYLCV,X8T2,2024-2025,37
Zip code,54110,FVDEYLCV,,2024-2025,965
Zip code,54110,FVDEYLCV,A,2024-2025,4
Zip code,54110,FVDEYLCV,AUT2,2024-2025,11
Zip code,54110,FVDEYLCV,B,2024-2025,20
Zip code,54110,FVDEYLCV,ECO1,2024-2025,319
Zip code,54110,FVDEYLCV,EL1,2024-2025,63
Zip code,54110,FVDEYLCV,EMO1,2024-2025,6
Zip code,54110,FVDEYLCV,ENG3,2024-2025,902
Zip code,54110,FVDEYLCV,FEM3,2024-2025,455
Zip code,54110,FVDEYLCV,H,2024-2025,125
Zip code,54110,FVDEYLCV,K41,2024-2025,48
Zip code,54110,FVDEYLCV,KIN2,2024-2025,62
Zip code,54110,FVDEYLCV,MAL15,2024-2025,509
Zip code,54110,FVDEYLCV,NOT2,2024-2025,848
Zip code,54110,FVDEYLCV,NOT3,2024-2025,645
Zip code,54110,FVDEYLCV,NOT4,2024-2025,964
Zip code,54110,FVDEYLCV,OTH52,2024-2025,6
Zip code,54110,FVDEYLCV,P,2024-2025,4
Zip code,54110,FVDEYLCV,PK1,2024-2025,4
Zip code,54110,FVDEYLCV,Q,2024-2025,45
Zip code,54110,FVDEYLCV,SPE2,2024-2025,32
Zip code,54110,FVDEYLCV,SPE3,2024-2025,29
Zip code,54110,FVDEYLCV,SWD1,2024-2025,116
Zip code,54110,FVDEYLCV,SWO1,2024-2025,848
Zip code,54110,FVDEYLCV,UNK2,2024-2025,33
Zip code,54110,FVDEYLCV,UNK3,2024-2025,1
Zip code,54110,FVDEYLCV,UNK6,2024-2025,1
Zip code,54110,FVDEYLCV,UNK7,2024-2025,1
Zip code,54110,FVDEYLCV,UNK9,2024-2025,1
Zip code,54110,FVDEYLCV,W,2024-2025,767
Zip code,54110,FVDEYLCV,X1012,2024-2025,71
Zip code,54110,FVDEYLCV,X113,2024-2025,80
Zip code,54110,FVDEYLCV,X1210,2024-2025,84
Zip code,54110,FVDEYLCV,X1S2,2024-2025,53
Zip code,54110,FVDEYLCV,X2N2,2024-2025,54
Zip code,54110,FVDEYLCV,X3R2,2024-2025,69
Zip code,54110,FVDEYLCV,X4T2,2024-2025,61
Zip code,54110,FVDEYLCV,X5T3,2024-2025,75
Zip code,54110,FVDEYLCV,X6T3,2024-2025,67
Zip code,54110,FVDEYLCV,X7T2,2024-2025,86
Zip code,54110,FVDEYLCV,X8T2,2024-2025,58
Zip code,54110,FVDEYLCV,X9T3,2024-2025,93
Zip code,54113,FVDEYLCV,,2024-2025,339
Zip code,54113,FVDEYLCV,A,2024-2025,11
Zip code,54113,FVDEYLCV,B,2024-2025,5
Zip code,54113,FVDEYLCV,ECO1,2024-2025,74
Zip code,54113,FVDEYLCV,EL1,2024-2025,9
Zip code,54113,FVDEYLCV,ENG3,2024-2025,330
Zip code,54113,FVDEYLCV,FEM3,2024-2025,170
Zip code,54113,FVDEYLCV,H,2024-2025,14
Zip code,54113,FVDEYLCV,KIN2,2024-2025,53
Zip code,54113,FVDEYLCV,MAL15,2024-2025,169
Zip code,54113,FVDEYLCV,NOT2,2024-2025,287
Zip code,54113,FVDEYLCV,NOT3,2024-2025,265
Zip code,54113,FVDEYLCV,NOT4,2024-2025,339
Zip code,54113,FVDEYLCV,OTH52,2024-2025,7
Zip code,54113,FVDEYLCV,P,2024-2025,1
Zip code,54113,FVDEYLCV,P1,2024-2025,1
Zip code,54113,FVDEYLCV,Q,2024-2025,18
Zip code,54113,FVDEYLCV,SPE2,2024-2025,10
Zip code,54113,FVDEYLCV,SPE3,2024-2025,23
Zip code,54113,FVDEYLCV,SWD1,2024-2025,52
Zip code,54113,FVDEYLCV,SWO1,2024-2025,287
Zip code,54113,FVDEYLCV,UNK2,2024-2025,12
Zip code,54113,FVDEYLCV,W,2024-2025,289
Zip code,54113,FVDEYLCV,X1S2,2024-2025,70
Zip code,54113,FVDEYLCV,X2N2,2024-2025,68
Zip code,54113,FVDEYLCV,X3R2,2024-2025,67
Zip code,54113,FVDEYLCV,X4T2,2024-2025,81
Zip code,54129,FVDEYLCV,,2024-2025,481
Zip code,54129,FVDEYLCV,A,2024-2025,1
Zip code,54129,FVDEYLCV,B,2024-2025,4
Zip code,54129,FVDEYLCV,ECO1,2024-2025,166
Zip code,54129,FVDEYLCV,EL1,2024-2025,48
Zip code,54129,FVDEYLCV,ENG3,2024-2025,433
Zip code,54129,FVDEYLCV,FEM3,2024-2025,211
Zip code,54129,FVDEYLCV,H,2024-2025,84
Zip code,54129,FVDEYLCV,KIN2,2024-2025,26
Zip code,54129,FVDEYLCV,MAL15,2024-2025,270
Zip code,54129,FVDEYLCV,NOT2,2024-2025,415
Zip code,54129,FVDEYLCV,NOT3,2024-2025,315
Zip code,54129,FVDEYLCV,NOT4,2024-2025,481
Zip code,54129,FVDEYLCV,PK1,2024-2025,36
Zip code,54129,FVDEYLCV,Q,2024-2025,5
Zip code,54129,FVDEYLCV,SPE2,2024-2025,17
Zip code,54129,FVDEYLCV,SPE3,2024-2025,20
Zip code,54129,FVDEYLCV,SWD1,2024-2025,66
Zip code,54129,FVDEYLCV,SWO1,2024-2025,415
Zip code,54129,FVDEYLCV,UNK2,2024-2025,29
