layer,geoid,topic,stratification,period,value
State,WI,FVDEYLCV,,2024-2025,805881
State,WI,FVDEYLCV,A,2024-2025,35055
State,WI,FVDEYLCV,AUT2,2024-2025,18580
State,WI,FVDEYLCV,B,2024-2025,70514
State,WI,FVDEYLCV,BLI1,2024-2025,427
State,WI,FVDEYLCV,DEA1,2024-2025,1580
State,WI,FVDEYLCV,DEA2,2024-2025,18
State,WI,FVDEYLCV,ECO1,2024-2025,325450
State,WI,FVDEYLCV,EL1,2024-2025,55772
State,WI,FVDEYLCV,EMO1,2024-2025,8217
State,WI,FVDEYLCV,ENG3,2024-2025,750012
State,WI,FVDEYLCV,FEM3,2024-2025,389913
State,WI,FVDEYLCV,H,2024-2025,116817
State,WI,FVDEYLCV,INT7,2024-2025,5785
State,WI,FVDEYLCV,K41,2024-2025,42720
State,WI,FVDEYLCV,KIN2,2024-2025,50990
State,WI,FVDEYLCV,MAL15,2024-2025,415495
State,WI,FVDEYLCV,MIG1,2024-2025,310
State,WI,FVDEYLCV,NON10,2024-2025,473
State,WI,FVDEYLCV,NOT2,2024-2025,679047
State,WI,FVDEYLCV,NOT3,2024-2025,480427
State,WI,FVDEYLCV,NOT4,2024-2025,805571
State,WI,FVDEYLCV,ORT3,2024-2025,635
State,WI,FVDEYLCV,OTH52,2024-2025,27442
State,WI,FVDEYLCV,P,2024-2025,7992
State,WI,FVDEYLCV,P1,2024-2025,640
State,WI,FVDEYLCV,PK1,2024-2025,4674
State,WI,FVDEYLCV,Q,2024-2025,44968
State,WI,FVDEYLCV,SIG1,2024-2025,11119
State,WI,FVDEYLCV,SPE2,2024-2025,26080
State,WI,FVDEYLCV,SPE3,2024-2025,26698
State,WI,FVDEYLCV,SWD1,2024-2025,126830
State,WI,FVDEYLCV,SWO1,2024-2025,679047
State,WI,FVDEYLCV,TRA11,2024-2025,249
State,WI,FVDEYLCV,UNK2,2024-2025,4
State,WI,FVDEYLCV,UNK3,2024-2025,4
State,WI,FVDEYLCV,UNK4,2024-2025,97
State,WI,FVDEYLCV,UNK5,2024-2025,5
State,WI,FVDEYLCV,UNK6,2024-2025,4
State,WI,FVDEYLCV,W,2024-2025,529890
State,WI,FVDEYLCV,X1012,2024-2025,63971
State,WI,FVDEYLCV,X113,2024-2025,64695
State,WI,FVDEYLCV,X1210,2024-2025,67049
State,WI,FVDEYLCV,X1S2,2024-2025,52597
State,WI,FVDEYLCV,X2N2,2024-2025,54493
State,WI,FVDEYLCV,X3R2,2024-2025,55955
State,WI,FVDEYLCV,X4T2,2024-2025,56056
State,WI,FVDEYLCV,X5T3,2024-2025,56709
State,WI,FVDEYLCV,X6T3,2024-2025,56868
State,WI,FVDEYLCV,X7T2,2024-2025,57696
State,WI,FVDEYLCV,X8T2,2024-2025,58307
State,WI,FVDEYLCV,X9T3,2024-2025,63101
