layer,geoid,topic,stratification,period,value
County,55087,FVDEWVAR,SWO1,2024-2025,725
County,55015,FVDEWVAR,SWO1,2024-2025,103
County,55139,FVDEWVAR,SWO1,2024-2025,1401
County,55015,FVDEWVAR,UNK3,2024-2025,1
County,55087,FVDEWVAR,UNK4,2024-2025,118
County,55015,FVDEWVAR,UNK4,2024-2025,5
County,55139,FVDEWVAR,UNK4,2024-2025,79
County,55087,FVDEWVAR,UNK5,2024-2025,96
County,55015,FVDEWVAR,UNK5,2024-2025,15
County,55139,FVDEWVAR,UNK5,2024-2025,86
County,55087,FVDEWVAR,UNK6,2024-2025,20
County,55015,FVDEWVAR,UNK6,2024-2025,2
County,55087,FVDEWVAR,UNK7,2024-2025,86
County,55139,FVDEWVAR,UNK7,2024-2025,154
County,55087,FVDEWVAR,UNK8,2024-2025,5
County,55015,FVDEWVAR,UNK8,2024-2025,3
County,55087,FVDEWVAR,W,2024-2025,930
County,55015,FVDEWVAR,W,2024-2025,86
County,55139,FVDEWVAR,W,2024-2025,1107
County,55087,FVDEWVAR,X1012,2024-2025,145
County,55015,FVDEWVAR,X1012,2024-2025,5
County,55139,FVDEWVAR,X1012,2024-2025,179
County,55087,FVDEWVAR,X113,2024-2025,73
County,55015,FVDEWVAR,X113,2024-2025,5
County,55139,FVDEWVAR,X113,2024-2025,146
County,55087,FVDEWVAR,X1210,2024-2025,46
County,55139,FVDEWVAR,X1210,2024-2025,68
County,55015,FVDEWVAR,X1210,2024-2025,2
County,55087,FVDEWVAR,X1S2,2024-2025,100
County,55015,FVDEWVAR,X1S2,2024-2025,10
County,55139,FVDEWVAR,X1S2,2024-2025,138
County,55087,FVDEWVAR,X2N2,2024-2025,94
County,55015,FVDEWVAR,X2N2,2024-2025,6
County,55139,FVDEWVAR,X2N2,2024-2025,127
County,55087,FVDEWVAR,X3R2,2024-2025,60
County,55015,FVDEWVAR,X3R2,2024-2025,6
County,55139,FVDEWVAR,X3R2,2024-2025,127
County,55087,FVDEWVAR,X4T2,2024-2025,102
County,55015,FVDEWVAR,X4T2,2024-2025,3
County,55139,FVDEWVAR,X4T2,2024-2025,152
County,55087,FVDEWVAR,X5T3,2024-2025,90
County,55015,FVDEWVAR,X5T3,2024-2025,13
County,55139,FVDEWVAR,X5T3,2024-2025,139
County,55087,FVDEWVAR,X6T3,2024-2025,164
County,55015,FVDEWVAR,X6T3,2024-2025,25
County,55139,FVDEWVAR,X6T3,2024-2025,314
County,55087,FVDEWVAR,X7T2,2024-2025,157
County,55015,FVDEWVAR,X7T2,2024-2025,44
County,55139,FVDEWVAR,X7T2,2024-2025,327
County,55087,FVDEWVAR,X8T2,2024-2025,276
County,55015,FVDEWVAR,X8T2,2024-2025,41
County,55139,FVDEWVAR,X8T2,2024-2025,324
County,55087,FVDEWVAR,X9T3,2024-2025,153
County,55015,FVDEWVAR,X9T3,2024-2025,9
County,55139,FVDEWVAR,X9T3,2024-2025,226
Zip code,53014,FVDEWVAR,,2024-2025,7
Zip code,53014,FVDEWVAR,ECO1,2024-2025,6
Zip code,53014,FVDEWVAR,EL1,2024-2025,5
Zip code,53014,FVDEWVAR,ENG3,2024-2025,2
Zip code,53014,FVDEWVAR,H,2024-2025,5
Zip code,53014,FVDEWVAR,MAL15,2024-2025,7
Zip code,53014,FVDEWVAR,NOT3,2024-2025,1
Zip code,53014,FVDEWVAR,SWD1,2024-2025,2
Zip code,53014,FVDEWVAR,SWO1,2024-2025,5
Zip code,53014,FVDEWVAR,W,2024-2025,2
Zip code,53014,FVDEWVAR,X3R2,2024-2025,1
Zip code,53014,FVDEWVAR,X5T3,2024-2025,1
Zip code,53014,FVDEWVAR,X6T3,2024-2025,1
Zip code,53014,FVDEWVAR,X7T2,2024-2025,3
Zip code,53014,FVDEWVAR,X9T3,2024-2025,1
Zip code,53061,FVDEWVAR,,2024-2025,21
Zip code,53061,FVDEWVAR,B,2024-2025,2
Zip code,53061,FVDEWVAR,ECO1,2024-2025,9
Zip code,53061,FVDEWVAR,ENG3,2024-2025,21
Zip code,53061,FVDEWVAR,FEM3,2024-2025,7
Zip code,53061,FVDEWVAR,H,2024-2025,2
Zip code,53061,FVDEWVAR,MAL15,2024-2025,14
Zip code,53061,FVDEWVAR,NOT3,2024-2025,12
Zip code,53061,FVDEWVAR,SWD1,2024-2025,9
Zip code,53061,FVDEWVAR,SWO1,2024-2025,12
Zip code,53061,FVDEWVAR,UNK5,2024-2025,2
Zip code,53061,FVDEWVAR,W,2024-2025,15
Zip code,53061,FVDEWVAR,X1012,2024-2025,2
Zip code,53061,FVDEWVAR,X113,2024-2025,1
Zip code,53061,FVDEWVAR,X1210,2024-2025,2
Zip code,53061,FVDEWVAR,X1S2,2024-2025,1
Zip code,53061,FVDEWVAR,X2N2,2024-2025,1
Zip code,53061,FVDEWVAR,X3R2,2024-2025,1
Zip code,53061,FVDEWVAR,X5T3,2024-2025,3
Zip code,53061,FVDEWVAR,X7T2,2024-2025,4
Zip code,53061,FVDEWVAR,X8T2,2024-2025,5
Zip code,53061,FVDEWVAR,X9T3,2024-2025,1
Zip code,53088,FVDEWVAR,,2024-2025,3
Zip code,53088,FVDEWVAR,ENG3,2024-2025,2
Zip code,53088,FVDEWVAR,FEM3,2024-2025,2
Zip code,53088,FVDEWVAR,MAL15,2024-2025,1
Zip code,53088,FVDEWVAR,NOT3,2024-2025,2
Zip code,53088,FVDEWVAR,SWD1,2024-2025,1
Zip code,53088,FVDEWVAR,UNK3,2024-2025,1
Zip code,53088,FVDEWVAR,UNK4,2024-2025,1
Zip code,53088,FVDEWVAR,UNK5,2024-2025,3
Zip code,53088,FVDEWVAR,UNK6,2024-2025,2
Zip code,53088,FVDEWVAR,UNK8,2024-2025,1
Zip code,53088,FVDEWVAR,X3R2,2024-2025,1
Zip code,53088,FVDEWVAR,X7T2,2024-2025,1
