layer,geoid,topic,stratification,period,value
City or town,5509725,FVDEYLCV,X8T2,2025-2026,83
City or town,5509725,FVDEYLCV,X9T3,2025-2026,70
City or town,5514475,FVDEYLCV,,2025-2026,1038
City or town,5514475,FVDEYLCV,A,2025-2026,1
City or town,5514475,FVDEYLCV,B,2025-2026,9
City or town,5514475,FVDEYLCV,ECO1,2025-2026,380
City or town,5514475,FVDEYLCV,EL1,2025-2026,104
City or town,5514475,FVDEYLCV,ENG3,2025-2026,934
City or town,5514475,FVDEYLCV,Error,2025-2026,2067
City or town,5514475,FVDEYLCV,FEM3,2025-2026,489
City or town,5514475,FVDEYLCV,H,2025-2026,185
City or town,5514475,FVDEYLCV,K41,2025-2026,55
City or town,5514475,FVDEYLCV,KIN2,2025-2026,56
City or town,5514475,FVDEYLCV,MAL15,2025-2026,540
City or town,5514475,FVDEYLCV,NOT3,2025-2026,649
City or town,5514475,FVDEYLCV,PK1,2025-2026,4
City or town,5514475,FVDEYLCV,Q,2025-2026,32
City or town,5514475,FVDEYLCV,SWD1,2025-2026,178
City or town,5514475,FVDEYLCV,SWO1,2025-2026,851
City or town,5514475,FVDEYLCV,UNK3,2025-2026,9
City or town,5514475,FVDEYLCV,UNK6,2025-2026,9
City or town,5514475,FVDEYLCV,UNK7,2025-2026,9
City or town,5514475,FVDEYLCV,W,2025-2026,811
City or town,5514475,FVDEYLCV,X1012,2025-2026,101
City or town,5514475,FVDEYLCV,X113,2025-2026,87
City or town,5514475,FVDEYLCV,X1210,2025-2026,91
City or town,5514475,FVDEYLCV,X1S2,2025-2026,54
City or town,5514475,FVDEYLCV,X2N2,2025-2026,55
City or town,5514475,FVDEYLCV,X3R2,2025-2026,78
City or town,5514475,FVDEYLCV,X4T2,2025-2026,88
City or town,5514475,FVDEYLCV,X5T3,2025-2026,71
City or town,5514475,FVDEYLCV,X6T3,2025-2026,61
City or town,5514475,FVDEYLCV,X7T2,2025-2026,75
City or town,5514475,FVDEYLCV,X8T2,2025-2026,87
City or town,5514475,FVDEYLCV,X9T3,2025-2026,75
City or town,5516500,FVDEYLCV,,2025-2026,378
City or town,5516500,FVDEYLCV,A,2025-2026,13
City or town,5516500,FVDEYLCV,B,2025-2026,6
City or town,5516500,FVDEYLCV,ECO1,2025-2026,83
City or town,5516500,FVDEYLCV,EL1,2025-2026,8
City or town,5516500,FVDEYLCV,ENG3,2025-2026,370
City or town,5516500,FVDEYLCV,Error,2025-2026,756
City or town,5516500,FVDEYLCV,FEM3,2025-2026,196
City or town,5516500,FVDEYLCV,H,2025-2026,22
City or town,5516500,FVDEYLCV,K41,2025-2026,58
City or town,5516500,FVDEYLCV,KIN2,2025-2026,52
City or town,5516500,FVDEYLCV,MAL15,2025-2026,182
City or town,5516500,FVDEYLCV,NOT3,2025-2026,295
City or town,5516500,FVDEYLCV,P,2025-2026,1
City or town,5516500,FVDEYLCV,P1,2025-2026,1
City or town,5516500,FVDEYLCV,Q,2025-2026,19
City or town,5516500,FVDEYLCV,SWD1,2025-2026,61
City or town,5516500,FVDEYLCV,SWO1,2025-2026,317
City or town,5516500,FVDEYLCV,W,2025-2026,316
City or town,5516500,FVDEYLCV,X1S2,2025-2026,56
City or town,5516500,FVDEYLCV,X2N2,2025-2026,73
City or town,5516500,FVDEYLCV,X3R2,2025-2026,71
City or town,5516500,FVDEYLCV,X4T2,2025-2026,68
City or town,5534575,FVDEYLCV,,2025-2026,500
City or town,5534575,FVDEYLCV,A,2025-2026,1
City or town,5534575,FVDEYLCV,B,2025-2026,4
City or town,5534575,FVDEYLCV,ECO1,2025-2026,174
City or town,5534575,FVDEYLCV,EL1,2025-2026,43
City or town,5534575,FVDEYLCV,ENG3,2025-2026,457
City or town,5534575,FVDEYLCV,Error,2025-2026,1000
City or town,5534575,FVDEYLCV,FEM3,2025-2026,215
City or town,5534575,FVDEYLCV,H,2025-2026,94
City or town,5534575,FVDEYLCV,K41,2025-2026,30
City or town,5534575,FVDEYLCV,KIN2,2025-2026,38
City or town,5534575,FVDEYLCV,MAL15,2025-2026,285
City or town,5534575,FVDEYLCV,NOT3,2025-2026,326
City or town,5534575,FVDEYLCV,P1,2025-2026,2
City or town,5534575,FVDEYLCV,PK1,2025-2026,1
City or town,5534575,FVDEYLCV,Q,2025-2026,6
City or town,5534575,FVDEYLCV,SWD1,2025-2026,57
City or town,5534575,FVDEYLCV,SWO1,2025-2026,443
City or town,5534575,FVDEYLCV,W,2025-2026,393
City or town,5534575,FVDEYLCV,X1012,2025-2026,45
City or town,5534575,FVDEYLCV,X113,2025-2026,44
City or town,5534575,FVDEYLCV,X1210,2025-2026,37
City or town,5534575,FVDEYLCV,X1S2,2025-2026,26
City or town,5534575,FVDEYLCV,X2N2,2025-2026,21
City or town,5534575,FVDEYLCV,X3R2,2025-2026,34
City or town,5534575,FVDEYLCV,X4T2,2025-2026,27
City or town,5534575,FVDEYLCV,X5T3,2025-2026,39
City or town,5534575,FVDEYLCV,X6T3,2025-2026,41
City or town,5534575,FVDEYLCV,X7T2,2025-2026,37
City or town,5534575,FVDEYLCV,X8T2,2025-2026,41
City or town,5534575,FVDEYLCV,X9T3,2025-2026,39
City or town,5535850,FVDEYLCV,,2025-2026,2322
City or town,5535850,FVDEYLCV,A,2025-2026,46
City or town,5535850,FVDEYLCV,B,2025-2026,11
City or town,5535850,FVDEYLCV,ECO1,2025-2026,360
City or town,5535850,FVDEYLCV,EL1,2025-2026,23
City or town,5535850,FVDEYLCV,ENG3,2025-2026,2299
City or town,5535850,FVDEYLCV,Error,2025-2026,4644
City or town,5535850,FVDEYLCV,FEM3,2025-2026,1118
City or town,5535850,FVDEYLCV,H,2025-2026,114
City or town,5535850,FVDEYLCV,K41,2025-2026,49
City or town,5535850,FVDEYLCV,KIN2,2025-2026,66
City or town,5535850,FVDEYLCV,MAL15,2025-2026,1204
City or town,5535850,FVDEYLCV,NOT3,2025-2026,1962
City or town,5535850,FVDEYLCV,P,2025-2026,3
City or town,5535850,FVDEYLCV,PK1,2025-2026,1
City or town,5535850,FVDEYLCV,Q,2025-2026,51
City or town,5535850,FVDEYLCV,SWD1,2025-2026,221
City or town,5535850,FVDEYLCV,SWO1,2025-2026,2101
City or town,5535850,FVDEYLCV,W,2025-2026,2097
City or town,5535850,FVDEYLCV,X1012,2025-2026,332
City or town,5535850,FVDEYLCV,X113,2025-2026,338
City or town,5535850,FVDEYLCV,X1210,2025-2026,320
City or town,5535850,FVDEYLCV,X1S2,2025-2026,76
City or town,5535850,FVDEYLCV,X2N2,2025-2026,74
City or town,5535850,FVDEYLCV,X3R2,2025-2026,84
City or town,5535850,FVDEYLCV,X4T2,2025-2026,94
City or town,5535850,FVDEYLCV,X5T3,2025-2026,118
City or town,5535850,FVDEYLCV,X6T3,2025-2026,125
City or town,5535850,FVDEYLCV,X7T2,2025-2026,115
City or town,5535850,FVDEYLCV,X8T2,2025-2026,137
City or town,5535850,FVDEYLCV,X9T3,2025-2026,393
City or town,5538800,FVDEYLCV,,2025-2026,3968
City or town,5538800,FVDEYLCV,A,2025-2026,100
City or town,5538800,FVDEYLCV,B,2025-2026,71
City or town,5538800,FVDEYLCV,ECO1,2025-2026,1001
City or town,5538800,FVDEYLCV,EL1,2025-2026,150
City or town,5538800,FVDEYLCV,ENG3,2025-2026,3818
City or town,5538800,FVDEYLCV,Error,2025-2026,7936
City or town,5538800,FVDEYLCV,FEM3,2025-2026,1290
City or town,5538800,FVDEYLCV,H,2025-2026,302
City or town,5538800,FVDEYLCV,K41,2025-2026,203
City or town,5538800,FVDEYLCV,KIN2,2025-2026,258
City or town,5538800,FVDEYLCV,MAL15,2025-2026,2121
City or town,5538800,FVDEYLCV,NON10,2025-2026,7
City or town,5538800,FVDEYLCV,NOT3,2025-2026,2967
City or town,5538800,FVDEYLCV,P,2025-2026,14
City or town,5538800,FVDEYLCV,PK1,2025-2026,32
City or town,5538800,FVDEYLCV,Q,2025-2026,230
City or town,5538800,FVDEYLCV,SWD1,2025-2026,700
City or town,5538800,FVDEYLCV,SWO1,2025-2026,3268
City or town,5538800,FVDEYLCV,UNK7,2025-2026,550
City or town,5538800,FVDEYLCV,W,2025-2026,3251
City or town,5538800,FVDEYLCV,X1012,2025-2026,277
City or town,5538800,FVDEYLCV,X113,2025-2026,306
City or town,5538800,FVDEYLCV,X1210,2025-2026,298
City or town,5538800,FVDEYLCV,X1S2,2025-2026,291
City or town,5538800,FVDEYLCV,X2N2,2025-2026,273
City or town,5538800,FVDEYLCV,X3R2,2025-2026,290
City or town,5538800,FVDEYLCV,X4T2,2025-2026,297
City or town,5538800,FVDEYLCV,X5T3,2025-2026,272
City or town,5538800,FVDEYLCV,X6T3,2025-2026,294
City or town,5538800,FVDEYLCV,X7T2,2025-2026,257
City or town,5538800,FVDEYLCV,X8T2,2025-2026,300
City or town,5538800,FVDEYLCV,X9T3,2025-2026,320
City or town,5539650,FVDEYLCV,,2025-2026,3186
City or town,5539650,FVDEYLCV,A,2025-2026,112
City or town,5539650,FVDEYLCV,B,2025-2026,36
City or town,5539650,FVDEYLCV,ECO1,2025-2026,609
City or town,5539650,FVDEYLCV,EL1,2025-2026,65
City or town,5539650,FVDEYLCV,ENG3,2025-2026,3120
City or town,5539650,FVDEYLCV,Error,2025-2026,6372
City or town,5539650,FVDEYLCV,FEM3,2025-2026,442
City or town,5539650,FVDEYLCV,H,2025-2026,189
City or town,5539650,FVDEYLCV,K41,2025-2026,48
City or town,5539650,FVDEYLCV,KIN2,2025-2026,76
City or town,5539650,FVDEYLCV,MAL15,2025-2026,1608
City or town,5539650,FVDEYLCV,NOT3,2025-2026,2577
City or town,5539650,FVDEYLCV,P,2025-2026,10
City or town,5539650,FVDEYLCV,P1,2025-2026,1
City or town,5539650,FVDEYLCV,Q,2025-2026,134
City or town,5539650,FVDEYLCV,SWD1,2025-2026,450
City or town,5539650,FVDEYLCV,SWO1,2025-2026,2736
City or town,5539650,FVDEYLCV,UNK4,2025-2026,1
City or town,5539650,FVDEYLCV,UNK7,2025-2026,1136
City or town,5539650,FVDEYLCV,W,2025-2026,2704
City or town,5539650,FVDEYLCV,X1012,2025-2026,389
City or town,5539650,FVDEYLCV,X113,2025-2026,390
City or town,5539650,FVDEYLCV,X1210,2025-2026,386
City or town,5539650,FVDEYLCV,X1S2,2025-2026,78
City or town,5539650,FVDEYLCV,X2N2,2025-2026,86
City or town,5539650,FVDEYLCV,X3R2,2025-2026,73
City or town,5539650,FVDEYLCV,X4T2,2025-2026,87
City or town,5539650,FVDEYLCV,X5T3,2025-2026,204
City or town,5539650,FVDEYLCV,X6T3,2025-2026,222
City or town,5539650,FVDEYLCV,X7T2,2025-2026,357
City or town,5539650,FVDEYLCV,X8T2,2025-2026,388
City or town,5539650,FVDEYLCV,X9T3,2025-2026,402
City or town,5544950,FVDEYLCV,,2025-2026,1572
City or town,5544950,FVDEYLCV,A,2025-2026,28
City or town,5544950,FVDEYLCV,B,2025-2026,32
City or town,5544950,FVDEYLCV,ECO1,2025-2026,488
City or town,5544950,FVDEYLCV,EL1,2025-2026,61
City or town,5544950,FVDEYLCV,ENG3,2025-2026,1511
City or town,5544950,FVDEYLCV,Error,2025-2026,3144
City or town,5544950,FVDEYLCV,FEM3,2025-2026,738
City or town,5544950,FVDEYLCV,H,2025-2026,160
City or town,5544950,FVDEYLCV,K41,2025-2026,60
City or town,5544950,FVDEYLCV,KIN2,2025-2026,108
City or town,5544950,FVDEYLCV,MAL15,2025-2026,834
City or town,5544950,FVDEYLCV,NOT3,2025-2026,1084
City or town,5544950,FVDEYLCV,P,2025-2026,12
