layer,geoid,topic,stratification,period,value
City or town,5534575,FVDEYLCV,FEM3,2024-2025,211
City or town,5534575,FVDEYLCV,MAL15,2024-2025,270
City or town,5534575,FVDEYLCV,X1S2,2024-2025,21
City or town,5534575,FVDEYLCV,X2N2,2024-2025,31
City or town,5534575,FVDEYLCV,X3R2,2024-2025,27
City or town,5534575,FVDEYLCV,X4T2,2024-2025,36
City or town,5534575,FVDEYLCV,KIN2,2024-2025,26
City or town,5534575,FVDEYLCV,PK1,2024-2025,36
City or town,5534575,FVDEYLCV,NOT4,2024-2025,481
City or town,5534575,FVDEYLCV,H,2024-2025,84
City or town,5534575,FVDEYLCV,Q,2024-2025,5
City or town,5534575,FVDEYLCV,W,2024-2025,387
City or town,5534575,FVDEYLCV,SPE2,2024-2025,17
City or town,5534575,FVDEYLCV,X5T3,2024-2025,38
City or town,5534575,FVDEYLCV,X6T3,2024-2025,32
City or town,5534575,FVDEYLCV,X7T2,2024-2025,41
City or town,5534575,FVDEYLCV,X8T2,2024-2025,36
City or town,5534575,FVDEYLCV,A,2024-2025,1
City or town,5534575,FVDEYLCV,B,2024-2025,4
City or town,5534575,FVDEYLCV,X1012,2024-2025,43
City or town,5534575,FVDEYLCV,X113,2024-2025,31
City or town,5534575,FVDEYLCV,X1210,2024-2025,37
City or town,5534575,FVDEYLCV,X9T3,2024-2025,46
City or town,5535850,FVDEYLCV,,2024-2025,2313
City or town,5535850,FVDEYLCV,NOT2,2024-2025,2017
City or town,5535850,FVDEYLCV,OTH52,2024-2025,60
City or town,5535850,FVDEYLCV,SIG1,2024-2025,9
City or town,5535850,FVDEYLCV,SPE3,2024-2025,19
City or town,5535850,FVDEYLCV,UNK2,2024-2025,102
City or town,5535850,FVDEYLCV,SWD1,2024-2025,231
City or town,5535850,FVDEYLCV,SWO1,2024-2025,2017
City or town,5535850,FVDEYLCV,EL1,2024-2025,28
City or town,5535850,FVDEYLCV,ENG3,2024-2025,2285
City or town,5535850,FVDEYLCV,ECO1,2024-2025,377
City or town,5535850,FVDEYLCV,NOT3,2024-2025,1936
City or town,5535850,FVDEYLCV,FEM3,2024-2025,1101
City or town,5535850,FVDEYLCV,MAL15,2024-2025,1212
City or town,5535850,FVDEYLCV,X1S2,2024-2025,77
City or town,5535850,FVDEYLCV,X2N2,2024-2025,82
City or town,5535850,FVDEYLCV,X3R2,2024-2025,89
City or town,5535850,FVDEYLCV,X4T2,2024-2025,98
City or town,5535850,FVDEYLCV,K41,2024-2025,46
City or town,5535850,FVDEYLCV,KIN2,2024-2025,67
City or town,5535850,FVDEYLCV,PK1,2024-2025,2
City or town,5535850,FVDEYLCV,NOT4,2024-2025,2313
